X,Y,OBJECTID,Schoolnumber,Name,Province,SchoolLevel,District,Grant_Class,latitude,longitude
265397.622524205,7797994.81013378,5903,11128,MATOVA,Masvingo,Secondary,Masvingo,S3,-19.90025,30.75911
299765.017297734,7777075.13225426,5904,11129,MAZARE,Masvingo,Secondary,Masvingo,S3,-20.09302,31.08495
,,5905,11130,MUKONDE,Masvingo,Secondary,Masvingo,S3,,0
292771.593953207,7702028.71948076,5906,11131,R C Z NYAJENA,Masvingo,Secondary,Masvingo,S3,-20.77001,31.00939
292240.426010991,7782907.68473399,5907,11132,WONDEDZO,Masvingo,Secondary,Masvingo,S3,-20.03955,31.01368
244448.929303298,7789844.87360945,5908,11133,ZVAMAHANDE,Masvingo,Secondary,Masvingo,S3,-19.9712,30.55801
246269.727046317,7765980.19420629,5909,11134,ZVEHURU,Masvingo,Secondary,Masvingo,S3,-20.1869,30.57208
354062.586791623,7754043.84344547,5910,11135,CHANANGA ,Masvingo,Secondary,Zaka,S3,-20.30595,31.60226
383956.892333145,7789396.21424722,5911,11136,BIKITA MAMUTSE  SECONDARY,Masvingo,Secondary,Bikita,S3,-19.9886,31.89079
339779.179512521,7797775.67143582,5912,11137,BUDIRIRO,Masvingo,Secondary,Bikita,S3,-19.90976,31.46934
370077.751074303,7744798.72817066,5913,11138,CHENINGA B,Masvingo,Secondary,Bikita,S3,-20.39063,31.75495
406965.112818717,7793854.07065131,5914,11139,MANUNURE,Masvingo,Secondary,Bikita,S3,-19.94956,32.11092
357747.341573372,7801026.00572988,5915,11140,MASHAVHI,Masvingo,Secondary,Bikita,S3,-19.88179,31.64121
339932.780739533,7780843.36519896,5916,11141,MASUNDA-BIKITA,Masvingo,Secondary,Bikita,S3,-20.06273,31.46933
372255.069978515,7768759.30321928,5917,11142,MATEZANO,Masvingo,Secondary,Bikita,S3,-20.17431,31.77751
347412.52293753,7781938.70173937,5918,11143,MUKANGANWI,Masvingo,Secondary,Bikita,S3,-20.05344,31.54093
358799.825502801,7785644.09123339,5919,11144,MUPAKWA,Masvingo,Secondary,Bikita,S3,-20.02083,31.65008
375586.080141862,7728923.44810964,5920,11145,TAMUKA,Masvingo,Secondary,Bikita,S3,-20.53442,31.80662
309476.876550239,7809239.45627953,5921,11146,PFUNGIDZO,Masvingo,Secondary,Gutu,S3,-19.80349,31.18113
287881.203568781,7832722.44766886,5922,11147,ZVIVINGWI,Masvingo,Secondary,Gutu,S3,-19.58919,30.97772
,,5923,11148,ZOMA ,Masvingo,Secondary,Gutu,S3,,0
280660.412000261,7853219.81169421,5924,11149,TAIGARA ,Masvingo,Secondary,Gutu,S3,-19.40329,30.91129
359643.603250113,7838117.97884423,5925,11150,RUT I ,Masvingo,Secondary,Gutu,S3,-19.54682,31.66211
374203.851009518,7809202.12285739,5926,11151,MUTOMBWA,Masvingo,Secondary,Gutu,S3,-19.80905,31.79893
